epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1173,2.45636,4.69096,3.28942,1.46282,0.35819,0.2932,0.23236,0.08259,0.25594,0.20983,0.15235,0.04486,2.62008,4.47406,1.87023,1.21069,9.44444e-05,9.44444e-05,9.44444e-05
2,55.3772,2.3537,4.40394,1.71243,1.20384,0.33719,0.29228,0.24172,0.09042,0.2822,0.24471,0.18232,0.05668,2.41935,4.38607,1.77645,1.21943,0.000193482,0.000193482,0.000193482
3,78.0432,2.16604,4.1392,1.66981,1.17303,0.3921,0.31739,0.25654,0.10972,0.33713,0.27696,0.21797,0.07073,2.22119,4.31177,1.77808,1.21648,0.000291529,0.000291529,0.000291529
4,99.2242,2.14605,4.10664,1.60397,1.22803,0.42872,0.35254,0.3298,0.14082,0.32901,0.27008,0.22465,0.0739,2.25906,4.20597,1.9313,1.21856,0.000388587,0.000388587,0.000388587
5,120.669,2.06915,3.80662,1.54864,1.11287,0.54728,0.43023,0.42933,0.18629,0.47458,0.37474,0.34336,0.11787,2.17903,4.69436,1.31775,1.18923,0.000484654,0.000484654,0.000484654
6,142.053,2.08486,3.95253,1.51967,1.159,0.55767,0.42072,0.41644,0.17165,0.45459,0.34725,0.31933,0.11113,2.16452,4.35349,1.37435,1.1779,0.000579732,0.000579732,0.000579732
7,161.24,1.99891,3.76963,1.3653,1.16488,0.53853,0.42374,0.38962,0.16146,0.44359,0.35143,0.30669,0.10314,2.12846,4.24122,1.28126,1.19331,0.000673819,0.000673819,0.000673819
8,183.89,2.07994,3.90019,1.3696,1.15606,0.57085,0.44979,0.45331,0.1964,0.45064,0.35782,0.29816,0.10584,2.11321,4.22048,1.27904,1.1788,0.000766917,0.000766917,0.000766917
9,195.558,2.07121,3.76347,1.33308,1.21228,0.57257,0.44873,0.48016,0.20413,0.4454,0.35835,0.33129,0.11354,2.21929,5.19012,1.34522,1.23559,0.000859024,0.000859024,0.000859024
10,217.99,2.06805,4.15967,1.38508,1.17512,0.46965,0.38742,0.38997,0.15971,0.33695,0.27431,0.24641,0.07617,2.25089,4.15185,1.36021,1.18665,0.000950142,0.000950142,0.000950142
11,242.12,2.14581,3.92757,1.39552,1.15312,0.58209,0.45507,0.48473,0.20826,0.46006,0.36748,0.36511,0.1278,2.16767,4.15672,1.22014,1.18446,0.00104027,0.00104027,0.00104027
12,264.103,2.12636,3.92885,1.26011,1.13346,0.57832,0.45137,0.47531,0.19718,0.4557,0.35465,0.34967,0.12303,2.16945,4.15054,1.22605,1.18684,0.00112941,0.00112941,0.00112941
13,278.611,2.12774,3.82873,1.32977,1.18582,0.59486,0.44873,0.48451,0.20678,0.48589,0.37156,0.35573,0.11969,2.14311,4.60316,1.21759,1.2079,0.00121755,0.00121755,0.00121755
14,297.226,1.98797,3.78136,1.2985,1.15582,0.59486,0.44873,0.48451,0.20678,0.48589,0.37156,0.35573,0.11969,2.14311,4.60316,1.21759,1.2079,0.00130471,0.00130471,0.00130471
15,317.241,2.1033,3.96443,1.3942,1.2392,0.52076,0.40433,0.41829,0.17585,0.34328,0.28171,0.25344,0.08043,2.27147,4.4953,1.35086,1.22571,0.00139088,0.00139088,0.00139088
16,339.719,2.1004,3.88107,1.31333,1.14119,0.60453,0.463,0.49895,0.20446,0.44512,0.34091,0.3273,0.10403,2.16611,4.17736,1.25237,1.20969,0.00147606,0.00147606,0.00147606
17,361.72,2.07937,3.81791,1.22635,1.16373,0.60453,0.463,0.49895,0.20446,0.44512,0.34091,0.3273,0.10403,2.16611,4.17736,1.25237,1.20969,0.00156024,0.00156024,0.00156024
18,383.247,2.09423,3.8955,1.24836,1.22086,0.57824,0.47392,0.49682,0.20288,0.42939,0.35201,0.32938,0.1106,2.11429,4.21405,1.18785,1.18704,0.00164344,0.00164344,0.00164344
19,410.304,2.13551,3.87446,1.27145,1.21251,0.57366,0.4408,0.47281,0.1941,0.41579,0.3277,0.30703,0.10206,2.1438,4.24895,1.21081,1.19467,0.00172565,0.00172565,0.00172565
20,431.485,2.07318,3.92715,1.25543,1.1671,0.57366,0.4408,0.47281,0.1941,0.41579,0.3277,0.30703,0.10206,2.1438,4.24895,1.21081,1.19467,0.00180687,0.00180687,0.00180687
21,457.434,2.10457,3.93122,1.24432,1.17455,0.49598,0.39059,0.39646,0.16541,0.30544,0.23964,0.21577,0.07277,2.23325,4.32214,1.30743,1.18266,0.001802,0.001802,0.001802
22,473.829,2.22177,3.84205,1.29953,1.1743,0.49598,0.39059,0.39646,0.16541,0.30544,0.23964,0.21577,0.07277,2.23325,4.32214,1.30743,1.18266,0.0017921,0.0017921,0.0017921
23,501.484,2.17905,3.90754,1.31911,1.16861,0.52916,0.43659,0.43938,0.17583,0.41946,0.34567,0.29485,0.1077,2.19835,4.24324,1.2279,1.19228,0.0017822,0.0017822,0.0017822
24,522.685,2.20614,4.10958,1.23529,1.16527,0.52916,0.43659,0.43938,0.17583,0.41946,0.34567,0.29485,0.1077,2.19835,4.24324,1.2279,1.19228,0.0017723,0.0017723,0.0017723
25,548.759,2.01362,3.8813,1.22529,1.15291,0.55215,0.44556,0.45496,0.18656,0.28689,0.23679,0.18441,0.06851,2.14599,4.37919,1.2065,1.16818,0.0017624,0.0017624,0.0017624
26,577.446,2.04859,3.90052,1.25322,1.13312,0.58379,0.45719,0.48287,0.20406,0.43635,0.32283,0.3283,0.11532,2.19647,4.48027,1.21035,1.19854,0.0017525,0.0017525,0.0017525
27,591.982,2.10143,3.90345,1.21474,1.15635,0.58379,0.45719,0.48287,0.20406,0.43635,0.32283,0.3283,0.11532,2.19647,4.48027,1.21035,1.19854,0.0017426,0.0017426,0.0017426
28,616.853,2.00061,3.68049,1.23292,1.174,0.62365,0.47992,0.5091,0.21322,0.50178,0.38266,0.39719,0.14099,2.14853,4.1957,1.19272,1.17989,0.0017327,0.0017327,0.0017327
29,632.649,1.98687,3.67759,1.2502,1.16356,0.62365,0.47992,0.5091,0.21322,0.50178,0.38266,0.39719,0.14099,2.14853,4.1957,1.19272,1.17989,0.0017228,0.0017228,0.0017228
30,647.695,1.88654,3.51479,1.29597,1.13597,0.60948,0.47252,0.48868,0.20116,0.47088,0.37315,0.3615,0.12302,2.14465,4.14813,1.20339,1.17468,0.0017129,0.0017129,0.0017129
31,675.631,2.05017,3.62319,1.36219,1.13046,0.60948,0.47252,0.48868,0.20116,0.47088,0.37315,0.3615,0.12302,2.14465,4.14813,1.20339,1.17468,0.001703,0.001703,0.001703
32,698.491,2.09475,3.68638,1.28791,1.11754,0.54165,0.4297,0.43947,0.18689,0.36724,0.29651,0.24932,0.08125,2.16365,4.19038,1.27348,1.16591,0.0016931,0.0016931,0.0016931
33,717.705,2.07371,3.73327,1.2743,1.14597,0.54165,0.4297,0.43947,0.18689,0.36724,0.29651,0.24932,0.08125,2.16365,4.19038,1.27348,1.16591,0.0016832,0.0016832,0.0016832
34,742.12,2.05456,3.80984,1.2044,1.16276,0.58816,0.4667,0.49226,0.20454,0.47016,0.37239,0.34577,0.11968,2.11273,4.07478,1.1711,1.15898,0.0016733,0.0016733,0.0016733
35,758.607,1.95381,3.68076,1.2452,1.17272,0.62605,0.48309,0.51788,0.22522,0.44063,0.34307,0.32544,0.11566,2.08565,4.10695,1.15725,1.1636,0.0016634,0.0016634,0.0016634
36,781.559,1.95785,3.65494,1.16549,1.10613,0.62605,0.48309,0.51788,0.22522,0.44063,0.34307,0.32544,0.11566,2.08565,4.10695,1.15725,1.1636,0.0016535,0.0016535,0.0016535
37,804.164,1.9499,3.60862,1.24023,1.1242,0.59359,0.45825,0.48527,0.21478,0.44297,0.34302,0.33865,0.11712,2.06255,4.04814,1.21019,1.16565,0.0016436,0.0016436,0.0016436
38,830.596,1.96726,3.64536,1.31782,1.12503,0.59359,0.45825,0.48527,0.21478,0.44297,0.34302,0.33865,0.11712,2.06255,4.04814,1.21019,1.16565,0.0016337,0.0016337,0.0016337
39,853.434,1.92057,3.54883,1.2706,1.11324,0.62037,0.47674,0.52154,0.23979,0.44689,0.34567,0.34372,0.12249,2.0405,3.98132,1.21408,1.16343,0.0016238,0.0016238,0.0016238
40,876.898,1.94413,3.6368,1.19044,1.12791,0.62037,0.47674,0.52154,0.23979,0.44689,0.34567,0.34372,0.12249,2.0405,3.98132,1.21408,1.16343,0.0016139,0.0016139,0.0016139
41,894.358,1.88712,3.52949,1.36164,1.11757,0.64817,0.47516,0.54,0.24211,0.42022,0.32928,0.3159,0.10889,2.05937,4.18038,1.13152,1.16529,0.001604,0.001604,0.001604
42,916.245,1.84932,3.61074,1.33728,1.13828,0.67328,0.49313,0.55612,0.23753,0.48137,0.35042,0.35558,0.12934,2.07135,4.18094,1.21557,1.172,0.0015941,0.0015941,0.0015941
43,945.882,1.9594,3.46888,1.16138,1.07742,0.67328,0.49313,0.55612,0.23753,0.48137,0.35042,0.35558,0.12934,2.07135,4.18094,1.21557,1.172,0.0015842,0.0015842,0.0015842
44,968.683,2.02013,3.68122,1.17701,1.10622,0.62943,0.47043,0.49586,0.21352,0.45331,0.33879,0.32948,0.11092,2.0476,4.10096,1.16446,1.15059,0.0015743,0.0015743,0.0015743
45,982.485,1.84855,3.31623,1.21751,1.06847,0.62943,0.47043,0.49586,0.21352,0.45331,0.33879,0.32948,0.11092,2.0476,4.10096,1.16446,1.15059,0.0015644,0.0015644,0.0015644
46,1012.84,1.90639,3.54818,1.22645,1.12364,0.60798,0.47674,0.52969,0.22381,0.43115,0.35412,0.32007,0.11488,2.0692,3.91334,1.16692,1.13807,0.0015545,0.0015545,0.0015545
47,1036.1,1.92926,3.60603,1.20816,1.08521,0.60798,0.47674,0.52969,0.22381,0.43115,0.35412,0.32007,0.11488,2.0692,3.91334,1.16692,1.13807,0.0015446,0.0015446,0.0015446
48,1057.92,2.02642,3.58602,1.1765,1.07779,0.55216,0.45356,0.4863,0.21566,0.37915,0.31184,0.27872,0.10481,2.07496,4.0636,1.2086,1.13502,0.0015347,0.0015347,0.0015347
49,1078.2,2.03752,3.60323,1.20028,1.13569,0.55216,0.45356,0.4863,0.21566,0.37915,0.31184,0.27872,0.10481,2.07496,4.0636,1.2086,1.13502,0.0015248,0.0015248,0.0015248
50,1096.9,1.89089,3.61514,1.09928,1.11959,0.58991,0.45719,0.50355,0.21768,0.44965,0.35367,0.34085,0.12265,2.10099,4.39668,1.17194,1.15124,0.0015149,0.0015149,0.0015149
51,1111.08,1.8611,3.43033,1.12055,1.08317,0.59999,0.46512,0.5116,0.23483,0.40848,0.31924,0.3016,0.10611,2.07563,4.02774,1.15522,1.1444,0.001505,0.001505,0.001505
52,1136.4,1.88209,3.45246,1.08285,1.09772,0.59999,0.46512,0.5116,0.23483,0.40848,0.31924,0.3016,0.10611,2.07563,4.02774,1.15522,1.1444,0.0014951,0.0014951,0.0014951
53,1165.77,1.90151,3.42114,1.07588,1.0852,0.65287,0.49577,0.55125,0.25133,0.47682,0.36364,0.35834,0.12852,2.06539,3.96547,1.11817,1.15657,0.0014852,0.0014852,0.0014852
54,1180.31,1.87037,3.29558,1.07277,1.09573,0.65287,0.49577,0.55125,0.25133,0.47682,0.36364,0.35834,0.12852,2.06539,3.96547,1.11817,1.15657,0.0014753,0.0014753,0.0014753
55,1207.48,1.96157,3.44727,1.12225,1.10667,0.69898,0.53633,0.60371,0.25846,0.50622,0.39112,0.37617,0.13456,2.11553,3.92364,1.11933,1.17175,0.0014654,0.0014654,0.0014654
56,1227.08,1.91904,3.35698,1.11896,1.0989,0.69898,0.53633,0.60371,0.25846,0.50622,0.39112,0.37617,0.13456,2.11553,3.92364,1.11933,1.17175,0.0014555,0.0014555,0.0014555
57,1244.75,1.83307,3.14735,1.12929,1.0916,0.61441,0.47463,0.51081,0.23017,0.45592,0.35941,0.35152,0.12253,2.08136,4.04668,1.1887,1.1654,0.0014456,0.0014456,0.0014456
58,1265.5,1.88156,3.34579,1.07798,1.08528,0.63301,0.48256,0.53082,0.22645,0.48239,0.37579,0.37168,0.12627,2.11727,4.00073,1.15835,1.16523,0.0014357,0.0014357,0.0014357
59,1293.07,1.96059,3.42983,1.09948,1.09255,0.63301,0.48256,0.53082,0.22645,0.48239,0.37579,0.37168,0.12627,2.11727,4.00073,1.15835,1.16523,0.0014258,0.0014258,0.0014258
60,1313.55,1.8761,3.3487,1.09827,1.08159,0.6348,0.5074,0.54998,0.24102,0.46056,0.37474,0.34005,0.12163,2.06314,3.90212,1.12847,1.14185,0.0014159,0.0014159,0.0014159
61,1339.22,1.82322,3.30846,1.07079,1.05423,0.6348,0.5074,0.54998,0.24102,0.46056,0.37474,0.34005,0.12163,2.06314,3.90212,1.12847,1.14185,0.001406,0.001406,0.001406
62,1362.99,1.91069,3.38966,1.08747,1.10059,0.64838,0.51374,0.55872,0.23785,0.47652,0.37949,0.35619,0.12868,2.07509,3.96702,1.10097,1.13771,0.0013961,0.0013961,0.0013961
63,1386.61,1.9149,3.31996,1.05727,1.09169,0.64838,0.51374,0.55872,0.23785,0.47652,0.37949,0.35619,0.12868,2.07509,3.96702,1.10097,1.13771,0.0013862,0.0013862,0.0013862
64,1407.7,1.88771,3.32545,1.08386,1.07363,0.66117,0.51051,0.56415,0.24761,0.51001,0.3983,0.39477,0.14614,2.06765,3.90764,1.09608,1.13982,0.0013763,0.0013763,0.0013763
65,1429.49,1.82442,3.11464,1.10626,1.07927,0.66117,0.51051,0.56415,0.24761,0.51001,0.3983,0.39477,0.14614,2.06765,3.90764,1.09608,1.13982,0.0013664,0.0013664,0.0013664
66,1449.01,1.87869,3.32095,1.06845,1.13262,0.63681,0.48837,0.53006,0.23381,0.47268,0.35359,0.35383,0.12328,2.10449,4.02727,1.13559,1.15818,0.0013565,0.0013565,0.0013565
67,1475.68,1.88483,3.32657,1.0368,1.08267,0.65363,0.49073,0.54908,0.24248,0.44288,0.35677,0.32765,0.11639,2.07317,3.96871,1.13121,1.15589,0.0013466,0.0013466,0.0013466
68,1499.8,1.9078,3.3819,1.07182,1.10017,0.65363,0.49073,0.54908,0.24248,0.44288,0.35677,0.32765,0.11639,2.07317,3.96871,1.13121,1.15589,0.0013367,0.0013367,0.0013367
69,1515.5,1.74238,3.04527,1.0266,1.04575,0.63741,0.4889,0.53995,0.24305,0.44154,0.34355,0.32121,0.11075,2.04648,4.03458,1.12055,1.14455,0.0013268,0.0013268,0.0013268
70,1538.9,1.79384,3.04691,1.02436,1.03574,0.63741,0.4889,0.53995,0.24305,0.44154,0.34355,0.32121,0.11075,2.04648,4.03458,1.12055,1.14455,0.0013169,0.0013169,0.0013169
71,1556.42,1.8503,3.18133,1.04796,1.08382,0.66724,0.51903,0.58421,0.25806,0.53825,0.41649,0.42285,0.15064,2.07718,3.94387,1.08002,1.15487,0.001307,0.001307,0.001307
72,1580.31,1.81048,3.06478,1.00677,1.0729,0.66724,0.51903,0.58421,0.25806,0.53825,0.41649,0.42285,0.15064,2.07718,3.94387,1.08002,1.15487,0.0012971,0.0012971,0.0012971
73,1599.87,1.84075,3.25772,1.00923,1.08861,0.68425,0.5185,0.59395,0.26051,0.53611,0.42757,0.42738,0.15506,2.0833,3.90682,1.09212,1.15097,0.0012872,0.0012872,0.0012872
74,1617.76,1.85636,3.17777,1.00459,1.06571,0.68178,0.51523,0.58425,0.26184,0.45822,0.36681,0.35077,0.12122,2.04979,3.9217,1.08774,1.13501,0.0012773,0.0012773,0.0012773
75,1642.72,1.861,3.29204,1.009,1.0674,0.68178,0.51523,0.58425,0.26184,0.45822,0.36681,0.35077,0.12122,2.04979,3.9217,1.08774,1.13501,0.0012674,0.0012674,0.0012674
76,1656.12,1.74485,3.04106,0.99562,1.05721,0.6674,0.50211,0.56405,0.23918,0.5215,0.40539,0.39028,0.14107,2.13735,3.97261,1.09457,1.17808,0.0012575,0.0012575,0.0012575
77,1681.33,1.96186,3.32417,1.05053,1.1042,0.6674,0.50211,0.56405,0.23918,0.5215,0.40539,0.39028,0.14107,2.13735,3.97261,1.09457,1.17808,0.0012476,0.0012476,0.0012476
78,1696.26,1.83345,3.19209,1.05149,1.12028,0.64039,0.50159,0.56071,0.25039,0.4698,0.38638,0.35517,0.12378,2.09124,3.96675,1.07602,1.15426,0.0012377,0.0012377,0.0012377
79,1715.47,1.75808,3.15397,1.00425,1.09202,0.64039,0.50159,0.56071,0.25039,0.4698,0.38638,0.35517,0.12378,2.09124,3.96675,1.07602,1.15426,0.0012278,0.0012278,0.0012278
80,1737.91,1.65553,2.85834,0.96206,1.03392,0.64719,0.50053,0.55964,0.2491,0.48918,0.38584,0.37185,0.13298,2.07669,3.90298,1.0742,1.14078,0.0012179,0.0012179,0.0012179
81,1757.76,1.71242,3.03632,0.96832,1.03685,0.64719,0.50053,0.55964,0.2491,0.48918,0.38584,0.37185,0.13298,2.07669,3.90298,1.0742,1.14078,0.001208,0.001208,0.001208
82,1777.03,1.75199,3.07335,1.01612,1.05209,0.62748,0.47274,0.52216,0.23746,0.43351,0.34038,0.33163,0.11587,2.07572,4.10262,1.11678,1.14464,0.0011981,0.0011981,0.0011981
83,1794.3,1.85772,3.15023,1.03369,1.06635,0.64723,0.50211,0.56522,0.25981,0.47059,0.38478,0.38238,0.13784,2.02519,4.00838,1.08929,1.12699,0.0011882,0.0011882,0.0011882
84,1807.18,1.65176,2.76843,0.98044,1.02022,0.64723,0.50211,0.56522,0.25981,0.47059,0.38478,0.38238,0.13784,2.02519,4.00838,1.08929,1.12699,0.0011783,0.0011783,0.0011783
85,1826.91,1.73274,2.93709,0.95733,1.02815,0.67937,0.5174,0.58738,0.26168,0.53725,0.4149,0.42644,0.15606,2.07537,4.00558,1.08066,1.1489,0.0011684,0.0011684,0.0011684
86,1852.51,1.80401,3.08638,0.96823,1.0673,0.67937,0.5174,0.58738,0.26168,0.53725,0.4149,0.42644,0.15606,2.07537,4.00558,1.08066,1.1489,0.0011585,0.0011585,0.0011585
87,1867.29,1.85931,3.17291,0.98702,1.06321,0.64943,0.5,0.56168,0.26057,0.4621,0.37687,0.35233,0.12687,2.0428,3.86673,1.08389,1.13782,0.0011486,0.0011486,0.0011486
88,1896.75,1.81377,3.20484,1.00849,1.06497,0.64943,0.5,0.56168,0.26057,0.4621,0.37687,0.35233,0.12687,2.0428,3.86673,1.08389,1.13782,0.0011387,0.0011387,0.0011387
89,1916.56,1.75799,3.02436,0.97014,1.04186,0.63732,0.49524,0.55399,0.25624,0.40967,0.33668,0.29275,0.10031,2.05286,3.87473,1.08889,1.1354,0.0011288,0.0011288,0.0011288
90,1936.79,1.68614,2.94921,0.95849,1.04562,0.65129,0.49789,0.55731,0.25446,0.49322,0.38319,0.37869,0.13497,2.0432,3.93738,1.08921,1.13449,0.0011189,0.0011189,0.0011189
91,1951.11,1.70744,3.02524,0.95444,1.03686,0.65129,0.49789,0.55731,0.25446,0.49322,0.38319,0.37869,0.13497,2.0432,3.93738,1.08921,1.13449,0.001109,0.001109,0.001109
92,1972.04,1.72539,3.07514,0.96744,1.04248,0.69141,0.52537,0.59084,0.27072,0.52367,0.40275,0.4042,0.15149,2.04225,3.87974,1.07537,1.13648,0.0010991,0.0010991,0.0010991
93,1990.37,1.6522,2.84328,0.93825,1.03517,0.69141,0.52537,0.59084,0.27072,0.52367,0.40275,0.4042,0.15149,2.04225,3.87974,1.07537,1.13648,0.0010892,0.0010892,0.0010892
94,2012.66,1.76085,3.0641,0.95204,1.06112,0.7103,0.52748,0.60487,0.26893,0.53904,0.41543,0.4099,0.14852,2.06919,3.84447,1.06155,1.14421,0.0010793,0.0010793,0.0010793
95,2034.67,1.79338,3.00751,0.9114,1.01469,0.7103,0.52748,0.60487,0.26893,0.53904,0.41543,0.4099,0.14852,2.06919,3.84447,1.06155,1.14421,0.0010694,0.0010694,0.0010694
96,2052.11,1.74233,3.07412,0.94766,1.03956,0.68721,0.50581,0.57091,0.25131,0.51882,0.39778,0.40528,0.14828,2.09412,4.1006,1.09016,1.16047,0.0010595,0.0010595,0.0010595
